filename,batch,reason
OE21-4-EBLK1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-EQ102NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=STANDARD)
OE21-4-EQ103NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=STANDARD)
OE21-4-F3NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=Unknown)
OE21-4-P8NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=Unknown)
OE21-4-POOL1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-POOL2NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-QC10NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-QC11NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-QC12NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-QC13NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-QC5NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-QC6NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-QC7NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-QC8NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=QC)
OE21-4-SBLK1NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-SBLKNEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-SBLKNEG3.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-SBLKNEG4.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-SBLKNEG5.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-SBLKNEG6.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-SBLKNEG8.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-SBLKNEGtest.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=BLANK)
OE21-4-SRM6NEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=STANDARD)
OE21-4-SRMNEG.mzML Peak area,batch_02_OE21-4_NEG,Non-biological sample (type=STANDARD)
E9EBLKNEG1.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
E9EBLKNEG2.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
E9POOLNEG1.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG10.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG11.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG2.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG3.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG4.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG5.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG6.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG7.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG8.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9POOLNEG9.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=QC)
E9SBLKNEG6.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
E9SBLKNEG7.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
E9SBLKNEG8.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
E9SBLKNEG9.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
E9SRMNEG1.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=STANDARD)
E9SRMNEG2.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=STANDARD)
E9SRMNEG3.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=STANDARD)
EQ102NEG.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=STANDARD)
EQ104NEG.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=STANDARD)
MQ1NEG.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
MQ1NEG2.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
MQ1NEG3.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
MQ1NEG4.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
MQ1NEG5.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
SBLKNEG1.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
SBLKNEG2.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
SBLKNEG3.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
SBLKNEG4.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
SBLKNEG5.mzML Peak area,batch_03_OE23_NEG,Non-biological sample (type=BLANK)
OE25EBLK1NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25ESTD1NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=STANDARD)
OE25POOL1-10NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL1-1NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL1-2NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL1-3NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL1-4NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL1-5NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL1-6NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL1-7NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL1-8NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL1-9NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25POOL2-1NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=QC)
OE25SBLK-1.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK10NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK11NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK12NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK1NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK2NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK3NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK4NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK5NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK6NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK7NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK8NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SBLK9NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=BLANK)
OE25SRM1NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=STANDARD)
OE25SRM2NEG.mzML Peak area,batch_04_OE26-1_NEG,Non-biological sample (type=STANDARD)
MQ1NEG.mzML Peak area,batch_05_OE25-1_NEG,Non-biological sample (type=BLANK)
MQ9NEG.mzML Peak area,batch_05_OE25-1_NEG,Non-biological sample (type=BLANK)
EBLK1NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
EISTD1NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=STANDARD)
MQ13NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ14NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ15NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ16NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ17NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ18NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ19NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ20NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ21NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ22NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ23NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ24NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ25NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ26NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ27NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ28NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ29NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
MQ30NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=BLANK)
POOL4-10-NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-11-NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-12-NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-14-NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-1NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-2NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-3NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-4NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-5NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-6NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-7NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-8NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
POOL4-9NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=QC)
SRM2NEG.mzML Peak area,batch_06_ALL-25-2_NEG,Non-biological sample (type=STANDARD)
