formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C33H55N3O6	[M - H]-	C33H54N3O6-	Fatty acids	0.876	Spingolipids	0.666	N-acyl amines	0.069	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.887	Amino acids and derivatives	0.879	Alpha amino acids and derivatives	0.853	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	588.397	719	11.982	875355520594085715	875355501061211614	875355501057017309	NEG_30817	
1	C31H60N8O3	[M - H]-	C31H59N8O3-	Amino acids and Peptides	0.627	Oligopeptides	0.600	Cyclic peptides	0.242	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.995	Amino acids and derivatives	0.994	N-acyl-alpha amino acids and derivatives	0.673	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Substituted pyrroles; Alpha amino acid amides; Benzenoids; Amines; Tertiary amines; Indoles; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	591.475	737	12.286	875355518933141258	875355501098960354	875355501094766049	NEG_31369	
2	C29H57N5O8	[M - H]-	C29H56N5O8-	Amino acids and Peptides	0.557	Oligopeptides	0.590	N-acyl amines	0.276	Lipids and lipid-like molecules	0.416	Fatty Acyls	0.389	Fatty amides	0.532	N-acyl amines	0.547	N-acyl amines	0.547	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Acetohydroxamic acids; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	602.412	754	12.560	875355521823016855	875355501212206574	875355501208012269	NEG_32911	
2	C29H52F2O	[M - H]-	C29H51F2O-	Terpenoids	0.996	Steroids	0.466	Cholestane steroids	0.090	Lipids and lipid-like molecules	0.889	Steroids and steroid derivatives	0.834					Steroids and steroid derivatives	0.834	Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	453.389	765	12.743	875355520086574908	875355499903583622	875355499899389317	NEG_14579	
1	C35H65N9O6	[M - H]-	C35H64N9O6-	Carbohydrates	0.634	Nucleosides	0.583	Pyrimidine nucleosides	0.264	Organic acids and derivatives	0.972	Carboxylic acids and derivatives	0.984	Amino acids, peptides, and analogues	0.959	Amino acids and derivatives	0.953	Alpha amino acid amides	0.701	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Aminopyrimidines and derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	706.493	785	13.078	875355522905147342	875355502088816214	875355502084621909	NEG_49659	
2	C33H64F3NO3	[M - H]-	C33H63F3NO3-	Fatty acids	0.803	Spingolipids	0.495	Ceramides	0.088	Lipids and lipid-like molecules	0.959	Fatty Acyls	0.793	Fatty amides	0.853	N-acyl amines	0.638	N-acyl amines	0.638	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; N-acyl amines; Organofluorides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	578.472	811	13.510	875355521260980099	875355500952159698	875355500952159697	NEG_29434	
1	C36H61N3O2	[M - H]-	C36H60N3O2-	Alkaloids	0.969	Nicotinic acid alkaloids	0.075	Pyridine alkaloids	0.076	Organic acids and derivatives	0.937	Carboxylic acids and derivatives	0.970	Amino acids, peptides, and analogues	0.659	Amino acids and derivatives	0.657	Amino acids and derivatives	0.657	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzimidazoles; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Tertiary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	566.472	824	13.735	875355520627640167	875355500876662218	875355500872467913	NEG_27789	
1	C26H53N5O4	[M - H]-	C26H52N5O4-	Amino acids and Peptides	0.520	Peptide alkaloids	0.082	Cyclic peptides	0.070	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.994	Amino acids and derivatives	0.992	Alpha amino acids and derivatives	0.964	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Lactams; Piperazines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Diazinanes; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	498.402	875	14.578	875355521290340233	875355500427871654	875355500423677349	NEG_19862	
1	C29H62N8O4	[M - H]-	C29H61N8O4-	Alkaloids	0.963	Oligopeptides	0.270	Cyclic peptides	0.202	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.999	Peptides	0.912	Peptides	0.912	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Piperazines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Alpha amino acid amides; Diazinanes; Amines; Primary amines; Tertiary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	585.485	897	14.955	875355520778635121	875355501023462874	875355501023462873	NEG_30421	
1	C41H80N6O9	[M - H]-	C41H79N6O9-	Amino acids and Peptides	0.789	Oligopeptides	0.994	Lipopeptides	0.537	Organic acids and derivatives	1.000	Peptidomimetics	0.436	Depsipeptides	0.584			Depsipeptides	0.584	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Depsipeptides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	799.598	905	15.075	875355520539559762	875355502487275142	875355502483080837	NEG_68624	
2	C40H69N3O2	[M - H]-	C40H68N3O2-	Alkaloids	0.832	Spingolipids	0.181	Pyridine alkaloids	0.085	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.981	Amino acids, peptides, and analogues	0.736	Amino acids and derivatives	0.735	Amino acids and derivatives	0.735	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzenoids; Amines; Tertiary amines; Aralkylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	622.534	925	15.410	875355520338233156	875355501346424318	875355501342230013	NEG_36035	
4	C36H63N3O3	[M - H]-	C36H62N3O3-	Fatty acids	1.000	Spingolipids	0.998	Ceramides	0.420	Lipids and lipid-like molecules	0.980	Sphingolipids	0.860					Sphingolipids	0.860	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	584.478	943	15.723	875355522007566252	875355500989908438	875355500989908437	NEG_30237	
1	C40H71N3O2	[M - H]-	C40H70N3O2-	Alkaloids	0.998	Nicotinic acid alkaloids	0.646	Pyridine alkaloids	0.646	Organic acids and derivatives	0.849	Carboxylic acids and derivatives	0.894	Amino acids, peptides, and analogues	0.820	Amino acids and derivatives	0.819	Amino acids and derivatives	0.819	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Imidazoles; Pyridines and derivatives; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Tertiary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	624.551	1009	16.825	875355518874420998	875355501375784450	875355501375784449	NEG_36334	
1	C37H73N7O3	[M - H]-	C37H72N7O3-	Alkaloids	0.851	Tryptophan alkaloids	0.231	Carboline alkaloids	0.058	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.944	Amino acids and derivatives	0.942	Amino acids and derivatives	0.942	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Pyrroles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Substituted pyrroles; Benzenoids; Amines; Secondary amines; Tertiary amines; Aralkylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	662.574	1043	17.376	875355520103352125	875355501589693978	875355501589693977	NEG_42338	
1	C45H79N3O2	[M - H]-	C45H78N3O2-	Alkaloids	0.832	Spingolipids	0.495	Ceramides	0.114	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.962	Amino acids, peptides, and analogues	0.532	Amino acids and derivatives	0.530	Amino acids and derivatives	0.530	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Aralkylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	692.612	1085	18.079	875355521365837710	875355502021707342	875355502021707341	NEG_47276	
