feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier,ls_LipidMolec,ls_ClassKey,ls_Grade,annot_tier,h_mol_species,h_species,h_class,best_annotation,annotation_level,hs_mol_species,hs_class,ms2_class,ms2_subclass,ms2_confidence,ms2_hits,propagated_classes,unified_annotation,unified_class,annotation_source,has_ms2,rt_class_used,rt_valid,rt_status,expected_rt_range,rt_deviation_min,rt_predicted_species,rt_prediction_confidence,rt_prediction_error_min,annot_confidence,archlips_annotation,archlips_source,archlips_confidence,clean_annotation,annotation_depth,clean_annotation_source,sanity_flag,exclusivity_flag,max_leakage_pct,leakage_to,n_phyla_detected,sirius_formula,sirius_adduct,has_formula,sirius_lipidClass,canopus_formula,canopus_adduct,npc_pathway,npc_pathway_prob,npc_superclass,npc_superclass_prob,npc_class,npc_class_prob,cf_superclass,cf_superclass_prob,cf_class,cf_class_prob,cf_subclass,cf_subclass_prob,has_canopus,csi_name,csi_smiles,csi_inchikey,csi_confidence,csi_score,msnovelist_smiles,msnovelist_name,has_denovo,discovery_method,n_batches_indicator,mean_indval,min_indval,mean_A,mean_B,batches,annotation_tier
A15_193292,773.698801,18.0126,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.806,1788946.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Silver
A15_52682,393.336115,5.6502,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,12.45,5594485.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_59570,393.335987,6.2578,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,11.22,2384840.0,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_158870,679.546875,15.0362,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,12.598,6199062.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Bronze
A15_OE25-1-ALL_17426,1453.00796,11.9836,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,11.998,4089795.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_32087,1446.088517,16.6946,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,11.393,2687400.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_19474,757.500363,12.6564,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.084,1084139.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_21144,771.515079,13.1807,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,12.924,7771265.6,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_20766,762.500737,13.0453,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.909,1922083.6,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_170067,1538.179938,16.0608,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.997,2042342.0,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_163874,1526.150381,15.4375,2.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.941,1964683.0,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_161620,1500.133836,15.2702,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.306,1264652.0,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_161621,1501.13502,15.2795,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.1,1096306.5,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_169048,1499.161902,15.9488,1.0,Mollusca,Animalia,2.0,0.0,1.0,1.0,1.0,10.139,1126457.0,0.0,1.0,1.0,100.0,2.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_34345,1406.08631,17.5029,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,11.791,3542459.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_34225,866.626114,17.4637,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,11.935,3913366.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_34359,1404.078718,17.5021,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,12.908,7687161.2,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_34349,1405.081427,17.5181,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,12.325,5131056.8,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_33626,743.577797,17.2366,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,12.611,6255875.8,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_37236,738.539895,18.3746,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.7,1662582.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_31449,735.552258,16.5036,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,12.261,4906060.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_28556,714.54207,15.5845,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.319,1276001.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_29490,686.510799,15.898,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.618,1570499.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_31075,686.51124,16.3151,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.656,1612874.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_21169,753.502924,13.1845,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,12.013,4132838.8,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_31348,564.542307,16.4834,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.234,1203621.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_31408,563.539033,16.4896,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,11.99,4066100.8,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_3818,473.265488,2.8069,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.493,1440310.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_34595,1462.119623,17.5651,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.769,1743666.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_37122,1432.109597,18.3916,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.472,1419484.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_17109,903.594049,11.8335,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.242,1210170.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_33178,1377.050791,17.0569,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.116,1109066.2,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_31963,1401.050353,16.6583,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.86,1857419.8,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_39630,1218.830337,19.2797,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.725,1692069.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_33199,1376.047475,17.0665,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.872,1872759.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_22671,1514.049624,13.604,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.613,1564942.8,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_34350,1431.096946,17.5058,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.289,1250472.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_33516,1486.119805,17.1276,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.35,1304058.6,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE21-4-POS_227658,738.656099,21.2851,1.0,Thermoproteota,Archaea,3.0,0.0,1.0,1.0,1.0,10.939,1961629.3,0.0,1.0,1.0,100.0,3.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_33129,547.507957,17.0643,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.82,1806920.6,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_32181,1472.104058,16.7119,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,11.747,3435313.8,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_22753,759.515121,13.6201,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,11.206,2361702.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_21007,772.51896,13.1617,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,11.094,2184885.0,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_24960,811.566676,14.3671,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.954,1983400.6,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_17419,1452.004589,11.9797,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,12.22,4771106.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_32146,1447.092502,16.6934,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.859,1856288.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_28665,870.605564,15.6155,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.724,1690453.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_32204,1473.107893,16.7316,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.68,1639642.8,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_34259,1488.132756,17.4782,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.765,1738777.6,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_33292,1460.103827,17.0969,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,12.022,4158573.2,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_33286,1461.107882,17.0887,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,11.282,2489172.8,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_23940,1455.023296,14.0287,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.53,1477895.2,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_34343,1430.094053,17.4975,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.861,1859433.6,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_34202,1462.119555,17.4827,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.676,1634713.6,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_31979,1430.057742,16.6656,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,10.305,1263828.4,0.0,1.0,1.0,100.0,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_16594,882.620881,11.6646,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,9.988,1014285.4,0.0,1.0,1.0,99.98,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_33067,1434.087598,17.0389,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,9.928,973406.2,0.0,1.0,1.0,99.86,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_3802,492.280427,2.7984,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,9.917,965828.6,0.0,1.0,1.0,99.83,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
A15_OE25-1-ALL_11341,826.558571,8.4369,1.0,Evosea,Protists,5.0,0.0,1.0,1.0,1.0,9.9,954318.2,0.0,1.0,1.0,99.8,5.0,1.0,Platinum,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composite,,,,,,,Unidentified
